clusterN,eigenvalue
0,0
1,0.183255129
2,0.530376664
3,0.642018871
4,0.801349287
5,0.892134795
6,0.923686504
7,0.945695909
8,0.981815095
9,0.984057093
10,0.995456702
11,1.006849883
12,1.011035324
13,1.012193516
14,1.029197566
15,1.028924416
16,1.028436491
17,1.028569221
18,1.028013355
19,1.028172793
20,1.016394176
21,1.027879668
22,1.02778295
23,1.027439963
24,1.027511927
25,1.027273935
26,1.027263516
27,1.026880005
28,1.027052272
29,1.027171318
30,1.026524265
31,1.026181262
32,1.026345707
33,1.0183561
34,1.026035863
35,1.025944631
36,1.025851342
37,1.025740632
38,1.018667249
39,1.025407112
40,1.025362898
41,1.025324995
42,1.019422626
43,1.025108888
44,1.025020069
45,1.024938243
46,1.024786573
47,1.024843744
48,1.019503017
49,1.019600677
50,1.01966323
51,1.024646622
52,1.024580091
53,1.024570118
54,1.024385626
55,1.024408397
56,1.02445482
57,1.019744223
58,1.019788533
59,1.019805058
60,1.024299209
61,1.024270321
62,1.024273717
63,1.02412089
64,1.024241662
65,1.024213379
66,1.024056409
67,1.019865231
68,1.023965121
69,1.019936524
70,1.023925109
71,1.023830328
72,1.019947309
73,1.019976936
74,1.020020119
75,1.023658247
76,1.02368296
77,1.020125483
78,1.020179763
79,1.020186387
80,1.023625953
81,1.023577975
82,1.023521729
83,1.023461387
84,1.020236665
85,1.020263296
86,1.0202897
87,1.02328344
88,1.02330132
89,1.020324255
90,1.02034061
91,1.020459823
92,1.023112108
93,1.020489725
94,1.023063808
95,1.020539282
96,1.023029186
97,1.020565625
98,1.021306782
99,1.021251887
100,1.021458815
101,1.021503253
102,1.023001064
103,1.023024494
104,1.020580404
105,1.021215295
106,1.021577917
107,1.021149704
108,1.020600906
109,1.021121765
110,1.021046657
111,1.022879041
112,1.021706889
113,1.02173678
114,1.022751445
115,1.022822854
116,1.022710842
117,1.022838238
118,1.021777598
119,1.02267005
120,1.02265083
121,1.022149828
122,1.020940441
123,1.022353585
124,1.022285166
125,1.020673447
126,1.020953719
127,1.021852482
128,1.020872027
129,1.022078919
130,1.02190613
131,1.022029441
132,1.022531851
133,1.020720668
134,1.020820826
135,1.020805037
136,1.022002584
137,1.021962958
138,1.020764217
139,1.022461532
140,1.022478647
141,1.021934786
142,1.020739906
143,1.022446662
144,1.020754655
145,1.020842524
146,1.022507051
147,1.02095957
148,1.022625883
