"V0","delta","cluster"
19827.4,0.152947,0
67301.8,0.152712,0
30363,0.152525,0
22225.6,0.152941,0
209798,0.150901,0
26160.1,0.151218,0
11945.5,0.153161,0
20795,0.152605,0
21143.8,0.152642,0
15416.4,0.153554,0
33758.6,0.150365,0
16247.4,0.15277,0
17470.9,0.152918,0
27094.1,0.15048,0
18045.6,0.152924,0
5348.3,0.15297,0
25024.2,0.153108,0
35673.2,0.152635,0
10450.7,0.152958,0
15075.1,0.153022,0
23280.1,0.153368,0
28882.9,0.151775,0
11074.7,0.152648,0
176562,0.152829,0
30536,0.15186,0
20012.5,0.152679,0
31582.2,0.152923,0
176539,0.153061,0
17019.8,0.152423,0
14681.9,0.153,0
22576.7,0.153116,0
70709.4,0.153794,1
42973.9,0.153498,1
34157.1,0.153351,1
44202.8,0.152341,1
14199.1,0.153042,1
22281.3,0.153273,1
21446.2,0.152427,1
11886.2,0.153551,1
49555.3,0.153091,1
22633.5,0.153793,1
117103,0.152147,1
74884.7,0.152331,1
48647.8,0.15234,1
61837.1,0.153341,1
46849.9,0.151106,1
76363.6,0.152865,1
497127,0.153143,1
371705,0.152412,1
198890,0.152031,1
70644.7,0.153448,1
262388,0.151885,1
51766.1,0.151505,1
28029,0.152219,1
1878570,0.151694,1
1459450,0.150103,1
50863,0.150889,2
121205,0.150441,2
52239.2,0.153063,2
135004,0.155785,2
50033,0.152946,2
17881.6,0.151158,2
3576.5,0.153599,2
5898.81,0.152898,2
108944,0.150143,2
111783,0.149099,2
40203.4,0.15059,2
33043.6,0.151676,2
213060,0.153905,2
199022,0.148093,2
20802.4,0.151936,2
8232.22,0.153252,2
21280.4,0.152391,2
74348.4,0.148996,2
7032.18,0.153436,2
69238.8,0.151904,2
12658.2,0.152762,2
16589.2,0.153238,2
45596.4,0.152582,2
39548.4,0.148535,2
19762.5,0.154373,2
19101.6,0.154099,2
63003.7,0.151916,2
31815.3,0.152901,2
57657.7,0.152414,2
36812.7,0.153075,2
22073.2,0.150537,2
21109,0.151969,2
13887,0.153269,2
8767.2,0.152144,2
106335,0.151216,2
18064.3,0.153095,2
27746.2,0.155584,2
3548.5,0.153173,2
4367.09,0.153877,2
13833.6,0.152938,2
170323,0.151023,2
46047.4,0.152382,2
54573,0.153662,2
66373.4,0.154892,2
93833.6,0.152298,2
10907.4,0.152914,2
111502,0.152401,2
234205,0.152614,2
36386.2,0.15274,2
222318,0.153554,2
171932,0.152435,2
29046.9,0.152747,2
8649.46,0.153077,2
93175.6,0.153143,2
596048,0.154041,2
10805.9,0.153336,2
54073.5,0.152662,2
25029.8,0.154157,2
90018.4,0.153932,2
67875.1,0.153376,2
158932,0.150467,2
143229,0.152646,2
151759,0.152421,2
197577,0.146783,2
25135.3,0.15071,NA
4370.42,0.153202,NA
13457.8,0.152991,NA
1131000,0.149524,NA
14762.8,0.150901,NA
285162,0.154523,NA
13055,0.153089,NA
11476.2,0.152124,NA
16004.5,0.152178,NA
64096.5,0.143741,NA
15086.2,0.153115,NA
27345.2,0.152791,NA
14398.2,0.153143,NA
693178,0.147536,NA
23357,0.152241,NA
43707.4,0.152225,NA
25527.9,0.153,NA
26017.7,0.153272,NA
59511.7,0.152608,NA
216051,0.150372,NA
29672.3,0.15237,NA
8886.56,0.153117,NA
37998.8,0.151655,NA
4871.37,0.155269,NA
134685,0.152132,NA
41926.2,0.152124,NA
10943.7,0.152702,NA
127300,0.151386,NA
109912,0.151744,NA
279736,0.15212,NA
40395.7,0.153478,NA
