X0,X1,cluster
4.7568316,10.625911,G3
8.667598,14.157299,G1
8.894666,15.43381,G1
4.554574,10.970736,G3
5.0953574,10.866405,G2
6.5403504,10.055219,G2
6.5077634,9.662641,G2
5.2783556,8.352353,G3
6.3678904,9.58718,G2
4.7044,8.562464,G3
8.022984,15.812434,G1
8.162675,14.499821,G1
7.538673,11.470499,G2
8.2052355,16.533773,G1
7.959328,12.629517,G2
5.101177,8.859243,G3
7.866644,10.310468,G2
4.5594597,8.79775,G3
7.931882,12.286422,G2
5.8490176,11.410757,G2
5.516896,11.005245,G2
6.6188607,11.5271,G2
8.199984,16.506237,G1
6.365185,9.59874,G2
6.1992493,10.159632,G2
7.58358,10.84801,G2
7.02556,10.564131,G2
6.4986053,11.155615,G2
4.948312,8.929446,G3
6.4515676,11.5671425,G2
5.2086864,8.31987,G3
7.819827,12.312475,G2
8.138188,15.157332,G1
5.719723,8.609955,G3
6.6404376,11.181458,G2
8.077675,13.209439,G2
8.100411,16.910059,G1
7.8345504,11.164052,G2
5.086207,11.877402,G2
8.028078,12.683917,G2
7.8006153,15.449432,G1
5.7193875,10.715929,G2
8.639032,15.484363,G1
7.5281773,12.690979,G2
4.683566,8.5211,G3
5.2785068,11.976399,G2
5.158479,11.208989,G2
7.819634,16.623516,G1
7.8153567,10.875283,G2
5.237324,9.17982,G3
7.8055596,16.598597,G1
6.813407,11.023276,G2
4.381052,10.87576,G3
7.709704,10.636564,G2
7.6914377,15.901897,G1
4.902881,8.835649,G3
5.213828,8.568636,G3
8.255743,14.2115135,G1
5.0104156,10.97258,G2
5.386817,11.648879,G2
6.76977,12.306135,G2
5.29747,9.346276,G3
5.3233786,12.031495,G2
5.135762,12.283537,G2
4.755231,10.445451,G3
7.7356668,15.390499,G1
7.6657405,15.018233,G1
8.676095,14.556034,G1
7.994241,12.662165,G2
8.682826,14.102274,G1
6.5585546,12.035928,G2
5.294319,11.397958,G2
5.900298,12.218208,G2
7.9327846,11.812138,G2
6.7328935,11.979173,G2
7.8732486,16.836035,G1
5.736035,11.224387,G2
8.012964,11.824956,G2
8.200096,17.017143,G1
8.514771,13.772666,G1
8.167218,15.431005,G1
7.13027,10.722653,G2
8.891782,14.936871,G1
7.154395,10.543574,G2
5.004841,8.423829,G3
5.9422064,11.520537,G2
5.1287007,12.753239,G2
7.957322,12.796376,G2
7.7065587,15.173867,G1
6.354885,12.745868,G2
8.467815,16.138725,G1
5.479353,11.089241,G2
4.248256,9.740646,G3
8.859642,15.803382,G1
4.964815,12.629197,G2
7.9217033,12.892369,G2
8.488007,15.809805,G1
7.5740037,10.234576,G2
7.0052996,12.520786,G2
8.292385,16.797726,G1
8.527803,13.692451,G1
8.020043,10.395645,G2
6.126159,12.296313,G2
5.1488667,8.36061,G3
7.330293,10.341775,G2
6.777275,12.706618,G2
6.802923,9.652026,G2
8.61782,15.739244,G1
7.2938223,11.891422,G2
4.7561097,12.44685,G2
8.001349,10.39566,G2
5.048398,12.234223,G2
8.498038,16.410433,G1
7.577213,11.761105,G2
5.6359744,12.929675,G2
8.594482,13.95458,G1
8.7492485,15.677383,G1
7.1417704,10.056749,G2
8.980386,14.786583,G1
7.797376,10.20599,G2
6.1671495,12.609838,G2
4.228859,10.11887,G3
8.905891,15.558524,G1
4.0296326,10.168566,G3
4.537728,10.421392,G3
8.113833,16.752174,G1
4.9643397,12.662368,G2
8.203239,14.076412,G1
5.6770854,12.920152,G2
7.253377,14.468679,G1
4.2779136,10.1612835,G3
5.460289,12.442351,G2
4.466862,11.446697,G2
4.2838645,10.971087,G3
7.0286756,9.7837515,G2
8.120712,13.354404,G1
8.616439,13.72519,G1
4.3290806,9.644782,G3
7.3348575,14.62479,G1
4.061623,9.940416,G3
4.698044,8.66593,G3
6.6552076,9.632008,G2
8.001286,11.662603,G2
6.2683463,9.266395,G3
8.362566,16.657322,G1
3.9612796,10.846681,G3
4.0698757,10.102938,G3
4.1411586,10.608644,G3
6.757165,9.69458,G2
