1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,1,1,0.591549296,0.882352941,0.9625,1,1,0.858974359,0.984126984,1,1,0.901639344,1,1,1,0.973684211,0.953846154,0.968253968,0.985714286,1,1,1,0.983870968,0.907894737,0.933333333,0.953846154,1,0.951612903,0.946428571,1,0.926470588,1,1,0.984126984,0.983050847,1,0.984126984,0.967213115,1,1,0.848484848,1,0.956521739,0.936507937,0.947368421,0.928571429,1,0.961538462,0.984848485,1,1,0.866666667,0.984615385,1,0.983333333,0.967741935,1,0.738461538,0.98630137,1,0.96875,0.939393939,1,0.723076923,1,1,0.98630137,1,0.98245614,0.984126984,0.967741935,0.949152542,0.965517241,1,1,0.973333333,1,1,1,1,1,1,1,0.966101695,0.887096774,1,1,1,1,1,0.967213115,0.963636364,1,1,1,1,0.983606557,1,1,1,0.912280702,0.966666667,1,1,1,1,1,0.952380952,1,1,1,1,1,1,1,1,0.984126984,1,1,1,0.970149254,1,0.924242424,0.728813559,1,1,1,1,1,0.895833333,0.983870968,1,0.917808219,1,0.9875,1,0.898305085,1,0.95,0.98245614,0.985915493,1,1,1,0.966101695,0.96875,0.954545455,1
1,0,0.764705882,0.985714286,1,1,1,1,1,1,0.763157895,0.9125,1,0.885245902,0.950819672,1,1,0.987179487,1,1,0.964285714,0.974025974,0.925373134,1,1,1,1,1,0.987179487,1,1,1,0.934210526,1,1,0.791044776,0.896551724,1,0.971830986,0.959459459,0.902439024,1,0.85,1,1,0.97260274,0.964912281,0.966666667,1,1,0.953125,0.985507246,1,1,0.828947368,1,1,0.873239437,1,0.962025316,0.921875,0.984126984,0.95890411,0.972222222,1,0.939393939,0.917808219,0.684931507,0.945945946,0.56,0.973333333,0.972972973,0.924242424,1,0.962962963,0.972222222,1,0.96969697,0.857142857,0.74137931,0.857142857,1,0.85915493,1,1,0.971428571,0.976470588,0.953125,0.917808219,0.870967742,0.816666667,1,1,0.842857143,0.974358974,0.9625,0.953125,0.983050847,0.93220339,0.906666667,0.845070423,1,0.985074627,1,1,0.890909091,1,0.904761905,0.985714286,0.985915493,1,0.984126984,0.830985915,0.985074627,0.987341772,0.850746269,0.894736842,0.983333333,0.537037037,1,0.917808219,1,0.845070423,1,1,0.983050847,0.983870968,0.868421053,0.805970149,0.959459459,1,0.914634146,1,1,1,0.972972973,0.835820896,1,0.955223881,1,1,1,1,1,0.890410959,1,1,1,1
1,0.764705882,0,1,1,1,1,1,1,1,0.591549296,0.693548387,0.983333333,0.587301587,0.927272727,1,1,1,0.983606557,0.984126984,1,1,0.648148148,0.985915493,1,1,1,0.955882353,1,1,1,1,0.714285714,0.984375,1,0.863636364,0.729166667,0.985074627,1,0.941176471,0.777777778,1,0.644067797,0.967213115,1,1,1,0.859375,1,0.947368421,0.741935484,1,1,1,0.735294118,1,1,0.726027397,1,1,0.970149254,1,1,1,1,0.830508475,0.901639344,0.643835616,0.929577465,0.654545455,0.987012987,1,0.985507246,1,0.971830986,0.869565217,1,0.983333333,0.566037736,0.807017544,0.813559322,1,0.53030303,1,1,0.983333333,0.971830986,0.953125,0.904761905,0.8,0.488372093,0.945205479,1,0.46969697,1,0.909090909,0.776315789,1,1,0.731343284,0.857142857,1,0.983050847,1,1,0.884057971,1,0.538461538,0.984848485,1,1,0.985074627,0.486842105,1,0.951612903,0.779411765,0.540540541,1,0.428571429,1,0.910447761,1,0.421875,1,1,0.745762712,1,0.704225352,1,0.96875,1,0.935897436,1,1,1,0.970149254,0.893333333,1,0.866666667,1,1,1,1,1,0.662162162,1,1,1,1
0.591549296,0.985714286,1,0,0.96969697,0.976470588,1,1,0.955223881,1,1,1,0.808823529,1,1,1,0.955882353,1,1,1,1,0.985294118,1,1,1,1,0.955882353,1,0.985294118,0.984848485,1,0.985507246,1,1,0.951612903,0.984615385,1,0.986111111,0.890410959,1,1,0.984848485,1,0.953125,0.985915493,0.777777778,0.966101695,1,0.87755102,1,1,1,0.655172414,0.959459459,1,0.955882353,1,1,0.882352941,0.885714286,0.977011494,0.97260274,0.892307692,0.882352941,0.864864865,1,0.966666667,0.984848485,1,0.984375,0.873239437,0.921875,0.93220339,0.985915493,0.987012987,1,0.863636364,1,1,1,1,1,1,1,1,0.958333333,0.987012987,1,1,0.984126984,1,0.939393939,1,1,0.986842105,1,1,0.972222222,1,1,1,0.925925926,1,1,1,1,1,1,1,0.961538462,0.953125,0.876923077,1,1,1,1,1,1,1,0.93442623,1,1,1,0.986111111,0.828125,1,1,1,1,1,0.93220339,0.973333333,0.855263158,0.710144928,1,0.972222222,1,0.987951807,1,1,1,1,1,1,1,0.938461538,0.985294118,0.876923077,1
0.882352941,1,1,0.96969697,0,0.987179487,1,1,1,0.98630137,1,1,1,1,0.942857143,0.981481481,1,0.933333333,0.97260274,0.891891892,0.936507937,1,1,0.987341772,0.94047619,0.98630137,1,1,0.859375,0.955882353,1,0.926470588,1,1,1,0.987654321,1,1,0.857142857,0.972972973,0.9875,0.919354839,1,0.926470588,0.97260274,0.904109589,0.709677419,1,1,0.985507246,1,1,0.984375,1,1,0.882352941,0.957142857,1,0.655172414,0.952941176,0.984848485,0.951612903,0.98630137,0.95,0.876712329,0.985074627,1,1,0.988095238,1,0.986842105,0.8125,0.962025316,1,0.932432432,1,0.987804878,0.983606557,1,1,1,1,0.986666667,1,1,0.923076923,1,0.983870968,0.98630137,1,1,1,0.970149254,1,1,0.986666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.986486486,1,0.96969697,1,1,1,1,1,1,1,1,1,0.851851852,1,0.890625,0.967213115,1,1,0.975308642,1,0.951612903,0.985294118,1,0.962025316,1,1,1,1,0.958333333,0.987341772,0.982758621,0.984375,1,1,1,1,1,0.894736842,1,1
0.9625,1,1,0.976470588,0.987179487,0,0.882352941,0.873417722,0.886075949,0.987654321,1,1,0.973684211,1,0.950617284,0.986111111,0.986111111,0.962962963,0.825,1,1,0.97752809,1,0.727272727,0.888888889,0.8,0.838235294,0.944444444,1,0.973684211,0.954545455,0.936708861,1,0.863013699,0.953846154,1,1,0.962962963,1,0.963414634,1,1,1,0.974358974,0.987012987,1,1,1,0.950819672,1,1,0.8375,1,0.957746479,1,0.987804878,1,1,0.945945946,1,1,1,1,0.971014493,0.886075949,1,1,1,0.954022989,1,0.986486486,1,1,0.923076923,0.975903614,1,1,0.911764706,1,1,1,0.936708861,1,1,0.985294118,0.97260274,1,0.948275862,1,1,1,1,1,1,1,0.987179487,1,0.953846154,0.970149254,1,1,0.985074627,1,0.897058824,1,1,0.88372093,1,1,1,0.944444444,1,1,0.985714286,1,1,1,1,1,1,1,0.963414634,1,1,0.985915493,1,1,1,1,1,1,0.986111111,1,1,0.929577465,1,1,1,1,1,1,0.9875,0.88,0.910447761,1,1,1,1,0.977777778
1,1,1,1,1,0.882352941,0,0.907692308,0.65,0.980769231,1,1,1,1,0.985915493,1,0.910447761,0.966101695,1,1,0.978723404,1,1,0.783333333,0.859375,0.890909091,0.896551724,0.983870968,1,1,0.953125,1,0.971830986,0.830508475,0.983050847,1,1,0.981132075,1,0.956521739,1,0.914285714,1,1,0.983606557,1,1,1,1,1,1,1,0.965517241,1,1,1,0.982758621,1,0.983870968,1,1,1,1,1,0.887323944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983050847,1,0.862745098,0.941176471,1,1,1,1,1,1,0.98245614,0.964912281,1,1,1,1,0.909090909,0.984615385,1,1,0.942307692,0.982758621,0.897959184,0.954545455,1,0.830769231,1,0.962962963,1,0.942307692,1,1,0.9375,1,1,1,0.875,1,0.941176471,1,0.933333333,1,1,1,1,0.981818182,1,0.969230769,1,0.961538462,1,1,1,0.96,1,1,0.903846154,1,0.959183673,1,0.684210526,0.96875,0.857142857,1,0.942307692,1,1,0.95
1,1,1,1,1,0.873417722,0.907692308,0,0.9375,0.753246753,1,1,1,0.985074627,0.987012987,0.903225806,1,0.827160494,0.985294118,1,1,0.971830986,0.973333333,0.78313253,0.945945946,0.942857143,0.985294118,0.984615385,0.863636364,1,0.526315789,1,1,0.608108108,1,1,1,1,1,1,1,0.984126984,1,0.985507246,0.861538462,1,1,0.969230769,1,0.878378378,1,1,1,0.973684211,1,0.880597015,0.835616438,1,1,1,1,0.961038961,1,1,0.956521739,1,1,1,1,1,1,1,1,1,1,0.9875,1,0.956521739,1,1,1,1,1,1,0.691176471,1,1,1,1,0.985074627,1,0.970149254,0.942028986,1,1,1,0.959459459,1,1,0.970588235,0.985915493,1,0.966666667,0.433333333,0.986111111,0.986842105,0.945205479,1,0.972972973,1,1,1,0.987654321,0.985714286,1,0.985714286,1,1,1,1,1,0.977272727,1,1,1,1,0.986111111,1,1,1,1,1,1,1,0.969230769,1,0.922222222,0.890410959,0.985074627,1,0.9375,0.92,1,0.898550725,1,1,1,0.970149254,0.960526316
0.858974359,1,1,0.955223881,1,0.886075949,0.65,0.9375,0,0.942028986,1,1,0.985074627,1,1,0.983870968,0.916666667,0.959459459,1,1,1,0.985074627,1,0.973333333,0.96,0.887323944,0.985294118,1,1,1,0.95890411,0.962025316,1,0.858974359,1,1,1,0.929577465,1,1,1,0.960526316,1,1,0.983333333,1,1,1,0.967741935,1,1,1,0.914285714,0.903614458,1,0.939393939,1,1,0.971014493,1,1,1,1,1,0.85915493,1,1,1,1,1,1,0.984375,1,0.974025974,0.987179487,1,1,0.984848485,1,1,1,1,1,0.980392157,0.920634921,1,1,1,1,1,1,1,0.953846154,1,0.972972973,1,1,0.965517241,1,1,1,0.738461538,1,0.953125,1,1,0.938271605,1,1,0.986486486,0.919354839,1,1,0.985915493,1,1,1,0.873239437,1,0.891891892,1,0.887323944,1,0.962025316,0.849315068,1,0.986486486,1,1,1,0.838709677,1,0.987179487,0.959459459,0.887323944,1,1,0.906666667,1,0.9375,0.982142857,0.75,0.873015873,0.909090909,1,0.985915493,0.97260274,1,0.986842105
0.984126984,1,1,1,0.98630137,0.987654321,0.980769231,0.753246753,0.942028986,0,1,1,1,1,0.984126984,0.935483871,1,0.636363636,0.986666667,0.984615385,1,1,1,1,0.986666667,1,1,1,0.904761905,1,0.65625,0.96969697,0.987804878,0.850746269,1,1,1,1,1,1,1,1,0.96969697,0.971428571,0.637931034,1,0.984375,0.984126984,1,0.929577465,0.984615385,1,0.983606557,1,1,0.745762712,0.9375,1,0.984848485,1,1,0.907894737,1,1,0.942857143,1,1,1,1,1,1,1,0.970588235,1,1,1,1,1,1,1,1,1,0.98630137,1,0.734375,1,0.985915493,1,1,1,1,0.878378378,0.825396825,0.983333333,0.98630137,1,1,1,1,0.985294118,1,1,0.985294118,0.8,1,1,1,1,0.984126984,0.986842105,1,1,0.985074627,1,0.985714286,0.985915493,1,1,1,1,1,0.928571429,1,0.971830986,0.914285714,1,0.970149254,1,1,0.985507246,1,0.987341772,1,1,1,1,0.986842105,0.7875,1,0.966666667,0.534482759,0.968253968,1,0.955223881,1,1,0.967741935,0.925373134,0.986842105
1,0.763157895,0.591549296,1,1,1,1,1,1,1,0,0.838235294,1,0.610169492,0.942028986,1,1,1,0.971428571,1,1,1,0.685714286,0.98630137,1,1,1,1,1,0.983606557,1,0.972222222,0.689189189,1,1,0.907894737,0.644067797,1,1,0.976190476,0.428571429,1,0.731343284,0.984126984,1,1,0.982758621,0.641791045,1,1,0.596774194,0.986842105,1,1,0.441558442,1,1,0.941860465,1,1,0.986111111,1,1,0.985294118,1,0.641791045,0.757575758,0.73255814,0.97260274,0.875,0.971830986,1,0.950819672,1,0.985915493,0.623188406,1,1,0.515625,0.852941176,0.439393939,1,0.777777778,1,1,1,0.988095238,0.984848485,0.739726027,0.961538462,0.420289855,0.985915493,1,0.485294118,1,0.9125,0.80952381,1,0.986666667,0.679012346,0.917808219,1,0.984848485,1,1,0.96,1,0.8,1,1,1,0.985074627,0.753246753,1,0.962962963,0.931506849,0.448717949,1,0.652777778,1,0.971830986,1,0.716216216,1,1,0.648648649,1,0.882352941,0.883333333,0.928571429,1,0.974683544,1,1,1,0.961538462,0.9,1,0.931506849,1,1,1,1,1,0.762711864,1,1,1,1
1,0.9125,0.693548387,1,1,1,1,1,1,1,0.838235294,0,1,0.86440678,0.732394366,1,1,1,0.858974359,0.985294118,1,1,0.763888889,0.960526316,1,1,1,0.971014493,1,0.954545455,1,0.909090909,0.615384615,1,1,0.75,0.810344828,0.986486486,1,0.794871795,0.881578947,1,0.808823529,0.984615385,1,1,0.961538462,0.921875,1,1,0.892307692,0.986666667,1,1,0.924242424,1,0.9875,0.558823529,1,1,1,0.985714286,1,1,1,0.948275862,0.967741935,0.906666667,0.862068966,0.907692308,1,1,1,0.961038961,0.986666667,0.881578947,1,0.953125,0.741935484,0.892307692,0.714285714,1,0.921052632,1,1,0.984375,1,0.793103448,0.848484848,0.984615385,0.742424242,1,1,0.8,1,0.827160494,0.787878788,1,0.985074627,0.689189189,0.934210526,1,1,1,1,0.942028986,0.963414634,0.873239437,1,1,1,1,0.724637681,0.970149254,0.973684211,0.901408451,0.8,1,0.846153846,1,0.953846154,1,0.75,1,1,0.818181818,1,0.575,1,0.921052632,1,1,1,1,0.984375,0.971428571,0.947368421,1,0.973684211,1,1,1,0.985714286,0.968253968,0.551282051,1,1,1,0.9875
0.901639344,1,0.983333333,0.808823529,1,0.973684211,1,1,0.985074627,1,1,1,0,0.942307692,0.984126984,1,0.969230769,1,0.984848485,1,1,0.984848485,0.96875,1,1,1,1,1,1,1,1,1,1,1,1,0.967741935,1,0.783333333,1,1,0.90625,1,0.933333333,0.880597015,1,0.867647059,1,0.982142857,0.777777778,1,0.983870968,1,0.93442623,0.876923077,1,1,1,1,1,0.98245614,0.973333333,1,1,0.944444444,0.971014493,0.984126984,0.884057971,0.921052632,0.986111111,0.985294118,0.815384615,1,0.928571429,0.821917808,0.95890411,0.953125,1,0.983606557,0.964912281,0.945205479,0.985294118,1,0.985714286,1,1,0.969230769,0.975,0.985915493,0.956521739,0.931034483,1,0.943661972,1,0.948275862,1,0.972972973,0.984615385,1,0.93442623,0.985915493,0.973684211,0.894736842,0.983870968,1,1,0.967213115,1,0.982758621,1,0.958333333,0.909090909,0.883333333,1,1,0.851351351,0.985507246,1,1,0.982142857,0.953125,0.984375,1,0.970149254,1,0.983606557,0.983606557,1,0.96969697,0.985294118,0.951612903,0.896551724,0.888888889,0.961538462,0.901408451,1,0.850746269,1,1,0.982142857,1,0.98,1,0.972972973,1,1,1,1,0.984848485,1
1,0.885245902,0.587301587,1,1,1,1,0.985074627,1,1,0.610169492,0.86440678,0.942307692,0,1,1,1,1,0.982142857,0.968253968,0.98245614,1,0.573770492,1,1,1,1,1,1,1,1,0.985074627,0.819672131,0.983050847,1,0.980769231,0.54,1,1,1,0.666666667,1,0.683333333,1,1,1,1,0.547169811,1,0.983606557,0.416666667,1,1,1,0.686567164,1,1,0.914285714,1,1,1,0.985294118,1,1,1,0.810344828,0.915254237,0.861111111,0.984375,0.862068966,0.985915493,1,1,1,1,0.62295082,1,0.982142857,0.559322034,0.913793103,0.728813559,1,0.842105263,1,1,1,1,0.981818182,0.868852459,0.828125,0.510204082,0.923076923,1,0.634920635,1,0.970588235,0.75,1,1,0.491525424,0.876712329,1,1,1,0.985294118,0.985915493,1,0.641791045,1,1,1,1,0.518518519,1,0.968253968,0.830985915,0.75,1,0.781818182,1,0.985074627,1,0.606557377,1,1,0.410714286,0.984126984,0.921875,0.983870968,0.965517241,1,0.984126984,1,1,1,0.931034483,0.805970149,1,0.807017544,1,1,1,1,1,0.661016949,1,1,1,1
1,0.950819672,0.927272727,1,0.942857143,0.950617284,0.985915493,0.987012987,1,0.984126984,0.942028986,0.732394366,0.984126984,1,0,1,1,0.985714286,0.578947368,0.985294118,1,1,0.930555556,0.952380952,0.934782609,0.930555556,1,1,1,0.95890411,1,0.826086957,0.810126582,0.984615385,1,0.814285714,0.966666667,0.969230769,1,0.797297297,0.946666667,0.984848485,0.958333333,0.826086957,1,1,0.910714286,0.984615385,0.985074627,0.984126984,0.985294118,0.931506849,1,1,0.946666667,1,1,0.851351351,1,1,0.890625,0.956521739,1,0.986666667,1,0.971830986,0.953125,0.911392405,0.710526316,0.986666667,1,1,0.986842105,0.842105263,0.953846154,0.972222222,1,0.704918033,0.947368421,0.855072464,0.816901408,1,0.891566265,1,0.982758621,0.985074627,1,0.8,0.905405405,0.983870968,0.962264151,1,1,0.981132075,1,0.788732394,0.970588235,0.984375,0.919354839,0.946666667,0.953488372,1,0.985074627,0.968253968,1,0.971830986,1,0.954545455,0.861538462,1,1,1,0.888888889,0.855072464,0.986842105,0.893939394,0.933333333,1,0.935483871,1,0.971014493,1,0.890625,0.971830986,1,0.96969697,1,0.746666667,0.984848485,0.897058824,1,0.948275862,1,1,0.949152542,0.936507937,0.971014493,1,0.985507246,0.985714286,0.984126984,1,0.939393939,0.969230769,0.875,1,1,1,0.985915493
1,1,1,1,0.981481481,0.986111111,1,0.903225806,0.983870968,0.935483871,1,1,1,1,1,0,1,0.915254237,1,0.957142857,0.859649123,0.941176471,1,0.910447761,0.886075949,1,1,0.931034483,0.666666667,0.944444444,0.734375,0.969230769,1,0.896551724,0.983606557,1,0.966666667,1,1,0.984126984,1,0.876923077,1,1,0.704918033,1,0.962962963,1,1,0.833333333,1,1,1,1,1,0.549019608,0.328125,0.985915493,0.982142857,0.967213115,0.980769231,0.890909091,1,1,1,1,1,1,1,1,0.984848485,0.966666667,1,1,0.909090909,1,0.951612903,1,1,1,0.983333333,1,1,1,0.833333333,0.964285714,1,1,1,0.981481481,1,0.96875,0.962264151,1,1,0.984615385,1,1,1,1,1,1,1,0.765957447,1,0.96875,1,1,0.984375,1,1,1,1,0.980769231,1,0.98245614,1,1,1,1,1,0.985507246,1,1,1,1,1,1,1,1,1,1,1,1,0.980769231,1,0.970588235,0.925373134,1,1,0.895833333,0.985294118,0.961538462,0.882352941,1,1,1,1,0.96969697
0.973684211,1,1,0.955882353,1,0.986111111,0.910447761,1,0.916666667,1,1,1,0.969230769,1,1,1,0,1,1,1,0.984615385,1,1,0.988235294,0.9875,0.8125,0.794117647,0.971014493,1,1,1,1,1,1,0.924242424,1,1,0.888888889,1,1,1,0.985915493,1,1,1,0.985714286,1,1,0.86440678,1,1,0.918918919,0.913043478,0.835820896,1,1,1,1,1,1,0.986666667,1,1,0.985074627,0.985507246,1,1,1,0.987654321,1,0.988095238,1,1,0.956521739,1,1,0.918918919,0.96969697,1,0.986666667,1,0.935064935,1,0.794520548,0.984848485,0.986842105,0.978021978,0.983870968,1,1,1,0.974025974,1,1,0.93902439,1,1,0.671875,0.97260274,1,1,0.611111111,1,1,0.833333333,1,0.916666667,1,0.986666667,0.9625,0.4,0.985294118,1,0.929577465,1,1,1,0.873239437,1,0.236842105,1,1,1,1,1,1,0.957142857,1,0.948051948,1,1,1,0.911392405,0.855263158,0.967741935,0.933333333,1,1,1,1,1,0.972222222,0.956521739,1,1,0.941176471,1,0.984848485,0.936708861
0.953846154,0.987179487,1,1,0.933333333,0.962962963,0.966101695,0.827160494,0.959459459,0.636363636,1,1,1,1,0.985714286,0.915254237,1,0,0.985507246,1,1,1,1,0.97260274,0.914285714,1,1,1,0.75,1,0.863636364,1,0.987951807,0.869565217,1,1,1,1,1,1,1,0.985915493,1,0.973684211,0.640625,1,0.963636364,1,1,0.958333333,1,1,0.924242424,1,1,0.642857143,0.907894737,0.964705882,0.919354839,1,1,0.882352941,1,1,0.671232877,1,1,1,1,1,1,0.969230769,0.985074627,1,1,1,1,0.983050847,1,1,1,1,1,1,0.890909091,1,1,1,1,1,1,0.966666667,0.765625,1,1,1,1,1,1,1,1,1,0.984375,0.725490196,1,1,1,1,1,1,1,1,1,1,1,0.987012987,1,1,1,1,1,0.951612903,1,0.985915493,0.875,1,1,0.985294118,1,1,0.933333333,1,0.973684211,1,1,1,1,0.708333333,1,0.981818182,0.629032258,1,1,1,1,0.954545455,0.939393939,0.942028986,1
0.968253968,1,0.983606557,1,0.97260274,0.825,1,0.985294118,1,0.986666667,0.971428571,0.858974359,0.984848485,0.982142857,0.578947368,1,1,0.985507246,0,1,1,0.92,0.972222222,0.837837838,0.888888889,0.878787879,0.96875,1,1,0.974025974,1,0.605263158,0.967213115,0.940298507,0.985507246,0.905405405,1,0.987341772,1,0.916666667,0.986666667,0.972222222,0.984375,0.868852459,1,0.985507246,1,1,0.981132075,0.956521739,0.986111111,0.985507246,1,1,0.985714286,1,1,0.940298507,0.985294118,1,0.941176471,0.939393939,1,0.967741935,1,1,0.971428571,0.967213115,0.783783784,1,1,1,1,0.791666667,0.957746479,0.971428571,1,0.820895522,0.983870968,0.90625,0.930555556,1,0.907692308,1,0.96969697,0.95890411,1,0.769230769,1,1,0.964285714,1,1,0.983050847,1,0.786666667,0.985714286,0.982758621,0.928571429,0.983606557,0.98245614,1,1,0.983333333,1,0.970149254,1,0.984375,0.925373134,1,1,1,0.928571429,0.915254237,0.987951807,0.959459459,0.968253968,1,0.969230769,1,0.983870968,0.96,0.986111111,0.961538462,0.983606557,1,1,0.886075949,1,0.983050847,1,0.985714286,0.9875,1,0.954545455,0.957142857,0.985294118,1,1,1,0.983606557,1,0.742857143,0.967741935,0.942028986,1,0.985714286,1,0.975903614
0.985714286,1,0.984126984,1,0.891891892,1,1,1,1,0.984615385,1,0.985294118,1,0.968253968,0.985294118,0.957142857,1,1,1,0,0.793103448,0.953846154,1,0.985074627,0.951219512,1,1,0.85915493,0.850746269,0.86440678,1,0.915492958,0.986111111,0.953125,0.95,0.985714286,0.96969697,1,0.968253968,0.95,0.985507246,0.949152542,0.958333333,0.972222222,0.955223881,0.942857143,0.87037037,1,0.983333333,0.868421053,0.962962963,1,1,1,1,0.9375,0.935897436,0.828947368,0.983606557,0.85915493,1,0.671875,0.955882353,0.986111111,0.984848485,0.985074627,0.984375,1,1,0.983050847,0.972972973,0.887323944,0.793650794,1,0.986666667,1,1,0.985294118,0.951612903,1,1,1,1,1,0.985294118,0.675675676,0.974025974,1,0.97260274,0.794117647,0.984375,0.984126984,1,0.970588235,0.971830986,0.963414634,0.98630137,1,1,0.96,0.984615385,1,0.966101695,1,1,0.888888889,1,0.96875,0.986111111,1,1,1,0.984848485,0.985074627,0.960526316,0.97260274,1,1,0.986666667,1,0.984615385,1,0.973333333,1,1,0.965517241,0.970588235,0.935897436,1,0.961538462,1,0.972222222,1,1,1,1,1,0.985714286,0.957142857,0.93442623,0.964285714,1,1,0.955882353,0.958333333,1,0.984615385,1,1
1,0.964285714,1,1,0.936507937,1,0.978723404,1,1,1,1,1,1,0.98245614,1,0.859649123,0.984615385,1,1,0.793103448,0,0.941176471,1,1,0.970588235,1,0.947368421,0.952380952,0.979166667,0.944444444,1,1,1,1,0.954545455,1,0.980392157,1,0.959183673,1,1,0.818181818,0.982758621,1,0.90625,0.96969697,0.913793103,1,1,0.893939394,0.962962963,1,1,1,1,0.819672131,0.967741935,0.984848485,0.967213115,0.885245902,1,0.927272727,1,1,0.985714286,1,1,1,1,0.962962963,0.967213115,0.803571429,0.912280702,1,0.938461538,1,0.913043478,1,0.977777778,1,1,1,0.983606557,1,0.965517241,0.945454545,1,1,1,0.833333333,1,0.771428571,1,0.983870968,0.974025974,0.984615385,1,0.984848485,1,1,0.96969697,0.981818182,0.902777778,0.981132075,0.950819672,0.871428571,1,1,0.984126984,1,0.981818182,1,1,1,1,0.984615385,1,0.966666667,0.952380952,1,0.985074627,1,0.984615385,1,1,1,0.983333333,1,0.98245614,1,1,1,1,1,1,1,0.982142857,1,1,0.981481481,0.981132075,0.985074627,1,1,1,0.98245614,1,0.967213115,0.949152542
